Curation,Variable ID,Variable name,Variable label,Variable description,Variable synonyms,Context of use,Growth stage,Variable status,Variable Xref,Institution,Scientist,Date,Language,Crop,Trait ID,Entity,Attribute,Trait name,Trait class,Trait description,Trait synonyms,Main trait abbreviation,Alternative trait abbreviations,Trait status,Trait Xref,Method ID,Method name,Method class,Method description,Method Abbreviation,Formula,Method reference,Scale ID,Scale name,Scale Abbreviation,Scale class,Scale Xref,Cat 1 code,Cat 1 description,Cat 2 code,Cat 2 description,Cat 3 code,Cat 3 description,Cat 4 code,Cat 4 description,Cat 5 code,Cat 5 description,Cat 6 code,Cat 6 description,Cat 7 code,Cat 7 description,Cat 8 code,Cat 8 description,Cat 9 code,Cat 9 description,Cat 10 code,Cat 10 description,,,,
,CO_369:0000011,FoDM_FoMmsr_kg,Forage dry mass msr [kg],The total dry mass of harvested forage material after drying to constant weight in a drying oven expressed in kg.,,breeding selection,"E1,PH1",Recommended,,"The Land Institute - 00jxaym78,Adana Alparslan Türkeş Science and Technology University - 013z3yn41","Brandon Schlautman - 0000-0002-9983-259X,Muhammet Sakirgolu - 0000-0002-7024-4348",02-11-2022,EN,Sainfoin,CO_369:0001010,Forage,dry mass,Forage dry mass,Quality,The total mass of dried forage,,FoDM,,Recommended,,CO_369:0002014,Forage mass measurement,Measurement,"Description: Record the mass of forage material
 
 Materials: digital scale;
 
 Dependent_on:
 
 Protocol:
 1. Harvest forage material either by hand or with a forage harvester.
 2. For fresh forage mass measurement, place the forage sample on the scale at the time of or shortly after harvesting and record the weight.
 3. For dry forage mass measurement, dry the forage to constant weight in a drying oven, place the material on a scale, and record the weight.",FoMmsr,,,CO_369:0003015,kilogram,kg,Numerical,UO:0000009,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000012,FoDM_PctDMcmp_%,Forage dry matter cmp [%],The percentage of dry matter in a sample of fresh biomass.,,,"E1,PH1",Recommended,,The Land Institute - 00jxaym78,Brandon Schlautman - 0000-0002-9983-259X,02-11-2022,EN,Sainfoin,CO_369:0001011,Forage,dry matter,Forage dry matter,Quality,The percentage of dry matter found in fresh forage,,FoDM,,Recommended,,CO_369:0002046,Percent dry matter computation,Computation,"Description: Compute the dry matter percentage of a sample
 
 Materials:
 
 Dependent_on: Forage fresh mass msr [kg], Forage dry mass msr [kg] | Forage subsample fresh mass msr [kg], Forage subsample dry mass msr [kg]
 
 Protocol:
 1. Divide the dry biomass by the fresh biomass and multiply by 100 to get the percent dry matter of either a sample of subsample of forage.",PctDMcmp,\frac{dry_mass}{fresh_mass}*100,,CO_369:0003001,percent,%,Numerical,UO:0000187,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000013,FoFM_FoMmsr_kg,Forage fresh mass msr [kg],The total fresh mass of harvested forage material expressed in kg.,,,"E1,PH1",Recommended,,The Land Institute - 00jxaym78,Brandon Schlautman - 0000-0002-9983-259X,02-11-2022,EN,Sainfoin,CO_369:0001012,Forage,fresh mass,Forage fresh mass,Quality,The total mass of fresh forage,,FoFM,,Recommended,,CO_369:0002014,Forage mass measurement,Measurement,"Description: Record the mass of forage material
 
 Materials: digital scale;
 
 Dependent_on:
 
 Protocol:
 1. Harvest forage material either by hand or with a forage harvester.
 2. For fresh forage mass measurement, place the forage sample on the scale at the time of or shortly after harvesting and record the weight.
 3. For dry forage mass measurement, dry the forage to constant weight in a drying oven, place the material on a scale, and record the weight.",FoMmsr,,,CO_369:0003015,kilogram,kg,Numerical,UO:0000009,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000014,FoMoiC_MoiCcmp_g/kg,Forage moisture content cmp [g/kg],The total moisture content of a forage sample in g water per kg fresh forage weight.,,,"E1,PH1",Recommended,,The Land Institute - 00jxaym78,Brandon Schlautman - 0000-0002-9983-259X,02-11-2022,EN,Sainfoin,CO_369:0001013,Forage,moisture content,Forage moisture content,Quality,The total moisture content calculated in fresh forage.,,FoMoiC,,Recommended,,CO_369:0002033,Moisture content computation,Computation,"Description: Record the moisture content of a forage sample
 
 Materials:
 
 Dependent_on: Forage dry mass [kg], Forage fresh mass [kg] | Forage subsample dry mass [g], Forage subsample fresh mass [kg]
 
 Protocol:
 1. Sample forage according to your sampling protocol.
 2. Weigh both the fresh weight of the forage as well as the dried weight of the whole sample, or if a large quantity, just a subsample.
 3. Find the difference between the fresh mass and the dry mass and divide by the fresh mass.
 4. Multiply by 1000 if expressing as g/kg or leave as is to express as g/g or kg/kg.",MoiCcmp,\frac{fresh_mass - dry_mass}{fresh_mass}*1000,,CO_369:0003008,gram per kilogram,g/kg,Numerical,UO:0000021/UO:0000009,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000015,FoNDFC_NDFmsr_g/kg,Forage NDF Content msr [g/kg],The total amount of fiber per sample mass as determined using neutral detergent solution expressed in g/kg.,,,"E1,PH1",Recommended,,The Land Institute - 00jxaym78,Brandon Schlautman - 0000-0002-9983-259X,02-11-2022,EN,Sainfoin,CO_369:0001014,Forage,NDF Content,Forage NDF Content,Quality,The total forage fiber content as determined by the neutral detergent fiber method.,,FoNDFC,,Recommended,,CO_369:0002034,Neutral detergent fiber measurement,Measurement,"Description: Determination of forage fiber content by the neutral detergent method.
 
 Materials:
 
 Dependent_on:
 
 Protocol:
 1. See https://www.journalofdairyscience.org/article/S0022-0302(91)78551-2/pdf",NDFmsr,,"SYMPOSIUM: CARBOHYDRATE METHODOLOGY, METABOLISM,
 AND NUTRITIONAL IMPLICATIONS IN DAIRY CAlTLE. Van SOest et al. J Dairy Sci. 1991 Oct;74(10):3583-97. doi: 10.3168/jds.S0022-0302(91)78551-2. https://www.journalofdairyscience.org/article/S0022-0302(91)78551-2/pdf",CO_369:0003008,gram per kilogram,g/kg,Numerical,UO:0000021/UO:0000009,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000016,FoSDM_FoSMmsr_kg,Forage subsample dry mass msr [kg],This is the total dry biomass of a subsample selected out of a larger portion of harvested biomass expressed in kg.,,,"E1,PH1",Recommended,,The Land Institute - 00jxaym78,Brandon Schlautman - 0000-0002-9983-259X,02-11-2022,EN,Sainfoin,CO_369:0001015,Forage,subsample dry mass,Forage subsample dry mass,Agronomic,The total dry mass recorded on a subsample of the entire biomass,,FoSDM,,Recommended,,CO_369:0002015,Forage subsample mass measurement,Measurement,"Description: Record the mass of a forage subsample.
 
 Materials: digital scale; 
 
 Dependent_on:
 
 Protocol:
 1. Select a subsample of forage from a larger pool of forage
 2. For fresh forage mass measurement, place the subsample on the scale and record the weight at the time of or shortly after harvesting.
 3. For dry forage mass measurement, dry the subsample in a drying oven until constant weight, place the material on a scale, and record the weight.",FoSMmsr,,,CO_369:0003015,kilogram,kg,Numerical,UO:0000009,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000017,FoSFM_FoSMmsr_kg,Forage subsample fresh mass msr [kg],This is the total fresh biomass of a subsample selected out of a larger portion of harvested biomass expressed in kg.,,,"E1,PH1",Recommended,,The Land Institute - 00jxaym78,Brandon Schlautman - 0000-0002-9983-259X,02-11-2022,EN,Sainfoin,CO_369:0001016,Forage,subsample fresh mass,Forage subsample fresh mass,Agronomic,The total fresh mass recorded on a subsample of the total biomass,,FoSFM,,Recommended,,CO_369:0002015,Forage subsample mass measurement,Measurement,"Description: Record the mass of a forage subsample.
 
 Materials: digital scale; 
 
 Dependent_on:
 
 Protocol:
 1. Select a subsample of forage from a larger pool of forage
 2. For fresh forage mass measurement, place the subsample on the scale and record the weight at the time of or shortly after harvesting.
 3. For dry forage mass measurement, dry the subsample in a drying oven until constant weight, place the material on a scale, and record the weight.",FoSMmsr,,,CO_369:0003015,kilogram,kg,Numerical,UO:0000009,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000018,FoYld_FoYldArcmp_kg/m2,Forage yield cmp [kg/m2],This is the total yield of forage expressed relative to the area harvested.,,,"E1,PH1",Recommended,,The Land Institute - 00jxaym78,Brandon Schlautman - 0000-0002-9983-259X,02-11-2022,EN,Sainfoin,CO_369:0001017,Forage,yield,Forage yield,Agronomic,The total mass of forage harvested or sampled relative to some other value,,FoYld,,Recommended,,CO_369:0002016,Forage yield per area computation,Computation,"Description: Calculate the total mass of forage harvested per unit area.
 
 Materials: tape measure; scale;
 
 Dependent_on: Forage fresh mass msr [kg] | Forage dry mass msr [kg]; Plot area msr [m2];
 
 Protocol:
 1. Record the weight for forage fresh mass or forage dry mass.
 2. Divide the mass by the total area of the harvested plot.",FoYldArcmp,,,CO_369:0003017,kilogram per square meter,kg/m2,Numerical,UO:0000086,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000019,InfL_InfLmsr_mm,Inflorescence length msr [mm],The overall length of the inflorescence when laid end to end expressed in mm.,,,"P3,P2",Recommended,,"The Land Institute - 00jxaym78,Adana Alparslan Türkeş Science and Technology University - 013z3yn41","Brandon Schlautman - 0000-0002-9983-259X,Muhammet Sakirgolu - 0000-0002-7024-4348",02-11-2022,EN,Sainfoin,CO_369:0001018,Inflorescence,length,Inflorescence length,Morphological,The total length of the inflorescence usually measured from the proximal end of the peduncle to the distal end of the growing apex,,InfL,,Recommended,,CO_369:0002017,Inflorescence length measurement,Measurement,"Description: Record the average inflorescence length
 
 Materials: metric ruler or tape measure
 
 Dependent_on: Inflorescence number cnt [n]
 
 Protocol:
 1. Sample inflorescences according to your sampling protocol
 2. Measure each inflorescence by laying it out on a flat surface and recording the length in mm from the proximal end of the peduncle to the distal end of raceme.
 3. If measuring one inflorescence, report the length. If measuring multiple, report the average length of all inflorescences measured.",InfLmsr,,,CO_369:0003021,millimeter,mm,Numerical,UO:0000016,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000020,InfN_InfNcnt_n,Inflorescence number cnt [n],The total number of inflorescences observed or sampled.,,,F2,Recommended,,"The Land Institute - 00jxaym78,Adana Alparslan Türkeş Science and Technology University - 013z3yn41","Brandon Schlautman - 0000-0002-9983-259X,Muhammet Sakirgolu - 0000-0002-7024-4348",02-11-2022,EN,Sainfoin,CO_369:0001019,Inflorescence,number,Inflorescence number,Agronomic,The total number of inflorescences observed or sampled,,InfN,,Recommended,,CO_369:0002018,Inflorescence number counting,Counting,"Description: Record the total number of inflorescences
 
 Materials:
 
 Dependent_on:
 
 Protocol:
 1. Collect inflorescences according to your sampling protocol
 2. Count the total number of inflorescences. 
 3. Express as an integer.",InfNcnt,,,CO_369:0003023,number,n,Numerical,UO:0000189,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000021,LfChlA_ChlAmsr_mg/g,Leaflet chlorophyll a content msr [mg/g],The chlorophyll A content in a leaflet or leaflet sample expressed in mg/g.,,,"V1,E1,B1,B2,F1,F2,P1,P2,P3",Recommended,,The Land Institute - 00jxaym78,Brandon Schlautman - 0000-0002-9983-259X,02-11-2022,EN,Sainfoin,CO_369:0001020,Leaflet,chlorophyll a content,Leaflet chlorophyll a content,Agronomic,The total chlorophyll A content in a leaflet,,LfChlA,,Recommended,,CO_369:0002019,Leaf chlorophyll A content measurement,Measurement,"Description: Determine the concentration of chlorophyll A in a leaf sample
 
 Materials: See protocol
 
 Dependent_on:
 
 Protocol:
 1. See protocol in http://www.chem.ucla.edu/dept/Faculty/merchant/pdf/porra_et_al_1989.pdf",ChlAmsr,,"Determination of accurate extinction coefficients and simultaneous equations for assaying chlorophylls a and b extracted with four different solvents: verification of the concentration of chlorophyll standards by atomic absorption spectroscopy. R.J. Porra, W.A. Thompson, P.E. Kriedmann. Biochimica et Biophysica Acta, 975 (1989) 384-394 http://www.chem.ucla.edu/dept/Faculty/merchant/pdf/porra_et_al_1989.pdf",CO_369:0003020,milligram per gram,mg/g,Numerical,UO:0000022/UO:0000021,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000022,LfChlB_ChlBmsr_mg/g,Leaflet chlorophyll b content msr [mg/g],The chlorophyll B content in a leaflet or leaflet sample expressed in mg/g.,,,"V1,E1,B1,B2,F1,F2,P1,P2,P3",Recommended,,The Land Institute - 00jxaym78,Brandon Schlautman - 0000-0002-9983-259X,02-11-2022,EN,Sainfoin,CO_369:0001021,Leaflet,chlorophyll b content,Leaflet chlorophyll b content,Agronomic,The total chlorophyll B content in a leaflet,,LfChlB,,Recommended,,CO_369:0002020,Leaf chlorophyll B content measurement,Measurement,"Description: Determine the concentration of chlorophyll B in a leaf sample
 
 Materials: See protocol
 
 Dependent_on:
 
 Protocol:
 1. See protocol in http://www.chem.ucla.edu/dept/Faculty/merchant/pdf/porra_et_al_1989.pdf",ChlBmsr,,"Determination of accurate extinction coefficients and simultaneous equations for assaying chlorophylls a and b extracted with four different solvents: verification of the concentration of chlorophyll standards by atomic absorption spectroscopy. R.J. Porra, W.A. Thompson, P.E. Kriedmann. Biochimica et Biophysica Acta, 975 (1989) 384-394 http://www.chem.ucla.edu/dept/Faculty/merchant/pdf/porra_et_al_1989.pdf",CO_369:0003020,milligram per gram,mg/g,Numerical,UO:0000022/UO:0000021,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000023,LfL_LfLmsr_mm,Leaflet length msr [mm],The average length of leaflets on a compound leaf measured with a ruler expressed in mm.,,breeding selection,E1,Recommended,,"The Land Institute - 00jxaym78,Adana Alparslan Türkeş Science and Technology University - 013z3yn41","Brandon Schlautman - 0000-0002-9983-259X,Muhammet Sakirgolu - 0000-0002-7024-4348",02-11-2022,EN,Sainfoin,CO_369:0001022,Leaflet,length,Leaflet length,Morphological,The length of leaflets measured from the proximal margin of the leaflet to the distal margin of the leaf.,,LfL,,Recommended,,CO_369:0002022,Leaflet length measurement,Measurement,"Description: Record the average leaflet length
 
 Materials: metric ruler or tape measure
 
 Dependent_on:
 
 Protocol:
 1. Select a compound leaf according to your sampling protocol.
 2. Measure the length of 5 leaflets on each compound leaf - 2 from either side of the compound leaf and the terminal leaflet.
 3. Start at the proximal base of the leaflet margin and measure until the distal margin of the leaf along the central axis.
 4. Record the average length of all 5 leaflets.",LfLmsr,,,CO_369:0003021,millimeter,mm,Numerical,UO:0000016,,,,,,,,,,,,,,,,,,,,,,,,
,CO_369:0000024,LfL_LfLprd_mm,Leaflet length prd [mm],The average length of leaflets on a compound leaf measured by basic image processing algorithms in mm.,,,E1,Recommended,,"The Land Institute - 00jxaym78,Adana Alparslan Türkeş Science and Technology University - 013z3yn41","Brandon Schlautman - 0000-0002-9983-259X,Muhammet Sakirgolu - 0000-0002-7024-4348",02-11-2022,EN,Sainfoin,CO_369:0001022,Leaflet,length,Leaflet length,Morphological,The length of leaflets measured from the proximal margin of the leaflet to the distal margin of the leaf.,,LfL,,Recommended,,CO_369:0002023,Leaflet length prediction,Prediction,"Description: Measure the average leaflet length
 
 Materials: Image analysis software, OpenCV scripts, etc.
 
 Dependent_on:
 
 Protocol:
 1. Select a compound leaf according to your sampling protocol.
 2. Select 5 leaflets on each compound leaf - 2 from either side of the compound leaf and the terminal leaflet.
 3. Lay all 5 leaflets out on a flatbed scanner or photography light table with either a known scale or a scale included in the scene and acquire an image.
 4. Use image processing to extract the length of the rotated bounding box of each leaflet.
 5. Convert from pixels to mm using the known scale.
 6. Report the average length in mm for all 5 leaflets.",LfLprd,,,CO_369:0003021,millimeter,mm,Numerical,UO:0000016,,,,,,,,,,,,,,,,,,,,,,,,
